Ano,Região,UF,Nome do Município,Localização,Dependência Administrativa,Ano de Ensino,Código da Escola,Abandono,Aprovacao,Reprovacao
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3ª série,53004981,0.0,87.7,12.3
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3ª série,53005171,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3ª série,53005210,2.7,94.6,2.7
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3ª série,53005740,0.0,76.6,23.4
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3ª série,53006046,4.1,79.6,16.3
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3ª série,53006054,0.0,87.5,12.5
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3ª série,53006496,0.0,92.9,7.1
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3ª série,53006720,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3ª série,53008146,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3ª série,53009380,0.0,90.0,10.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53003047,0.0,54.9,45.1
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53005171,0.0,76.9,23.1
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53005210,0.0,73.7,26.3
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53005740,0.0,82.9,17.1
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006046,0.0,88.2,11.8
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006054,0.0,86.2,13.8
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53008146,0.0,67.6,32.4
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53009380,0.0,93.7,6.3
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53002466,5.3,84.2,10.5
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53003055,0.0,84.2,15.8
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53003063,0.0,79.3,20.7
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53005007,0.0,76.5,23.5
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53005147,0.0,77.8,22.2
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53005155,0.0,93.3,6.7
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53005163,3.1,81.3,15.6
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53005180,0.0,82.8,17.2
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53005198,0.0,89.5,10.5
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53005201,0.0,72.7,27.3
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53005694,0.0,90.3,9.7
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53005708,0.0,85.7,14.3
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53005716,0.0,82.0,18.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53005759,0.0,82.8,17.2
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53005767,0.0,61.5,38.5
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53005783,0.0,76.5,23.5
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53005791,0.0,70.6,29.4
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53005805,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53005988,0.0,90.7,9.3
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006020,0.0,88.9,11.1
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006038,0.0,81.3,18.7
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006348,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006364,0.0,81.3,18.7
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006372,0.0,88.9,11.1
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006380,0.0,81.8,18.2
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006402,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006429,0.0,75.0,25.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006437,0.0,94.7,5.3
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006461,0.0,88.2,11.8
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006526,0.0,70.0,30.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006534,0.0,57.8,42.2
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006798,0.0,90.3,9.7
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006828,0.0,73.7,26.3
